tag,name
ENTR310,Innovation and Creativity
ENTR320,Entrepreneurship
ENTR330,Social Entrepreneurship
ENTR415,Developing an Entrepreneurial Venture 
ENTR460,International Entrepreneurship
MKTG200,Principles of Marketing
MKTG310,Marketing Research
MKTG320,Consumer Behavior
MKTG330,Services Marketing
MKTG340,International Marketing
MKTG420,Strategic Marketing Management
MKTG605,Marketing Management in an E-Age
MKTG610,Contemporary Issues in Customer Behavior
SCML200,Supply Chain Management & Operations
SCML310,Supply Chain & Logistics Modeling
SCML320,Procurement & Supply Management
SCML330,Logistics & Transportation Management
SCML410,Global Supply Chain & Logistics
SCML460,Supply Chain Applications Strategy
SCML655,Supply Chain Management
DBA900,The Philosophy of Social Research
DBA901,Qualitative Research Methods
DBA902,Quantitative Research Methods
DBA903,Literature Review and Critique
DBA904,Research in Support Business Functions
DBA905,Introduction to Business Research
DBA906,Human Factors & Social Responsibility
DBA907,Research Elective
DBA908,Dissertation-Research Proposal
DBA909,Dissertation Research Part 1
DBA910,Dissertation Research Part 2
GBUS201,Personal Development: Leadership and Team Competencies
GBUS250,Digital Economy
GBUS300,Research Methods in Business and Economics
GBUS301,Personal Development: Career Preparation and Orientation
GBUS460,Internship
GBUS670,"Corporate Governance, Social Responsibility and Ethics"
GBUS680,Business Research
GBUS690,Field Research Project
HRMD310,Organizational Behavior
HRMD320,Human Resources Management
HRMD330,Staffing Organizations
HRMD410,Human Resources Performance Management
HRMD420,Compensation & Benefits Management
MGMT200,Fundamentals of Management
MGMT415,Strategic Management
MGMT510,Business Environment
MGMT610,Strategic Human Resources Management
MGMT620,Entrepreneurship & Innovation
MGMT621,Leadership & Organizational Behavior
MGMT622,Staffing Organizations
MGMT623,Performance and Rewards Management
MGMT624,HR Development in UAE Context
MGMT650,Global Operations Management in the Service Environment
MGMT660,Strategic Management in a Dynamic Environment
MGMT675,Management and Leadership
MGMT691,Total Quality Management
MGMT692,Organizational Excellence Modeling
MGMT693,International Business Management
MGMT694,Organizational PM & Benchmark
BANA200,Managing with Analytics
BANA250,Business Intelligence
BANA310,Data Management and Organization
BANA380,Business Analytics
BANA400,Business Analytics Applications
BANA410,Text Analytics
BANA420,Graph Analytics
BANA430,Applied Optimization
BANA520,Digital Business Innovation
BANA540,Visual Analytics & Business Intelligence
BANA560,Applied Optimization
BANA600,Business Analytics Applications
BANA652,Analytics for Accounting & Finance
BANA655,People Analytics
BANA656,Analytics for Operations & Supply Chains
BANA661,Marketing Analytics
BANA690,Analytics Project
BANA691,Capstone Project I
BANA692,Capstone Project II
MIST200,Foundation of MIS & Technologies
MIST215,Computer Application in Business
MIST280,"E-Business Strategy, Architecture & Design"
MIST610,Information Systems in Business
MIST625,Management of Technology
MIST630,Strategic IS Management
MIST640,Business Intelligence & BPM
MIST650,"E-Business: Technology, Strategies & Applications"
MIST660,Enterprise IS
STAT101,Statistics in the Modern World
STAT102, Business Statistics I
STAT130,Statistics for Business
STAT180,Psychological Statistics I
STAT202, Business Statistics II
STAT210,Probability and Statistics
STAT230,Principles of Probability
STAT235,Statistics for Biology
STAT240,Data Exploration and Analysis
STAT250,Statistical Graphics
STAT280,Psychological Statistics II
STAT300,Introduction to Statistical Inference
STAT330,Survey Methods
STAT331,Design Of Experiments         
STAT360,Applied Regression
STAT370,Mathematical Statistics
STAT380,Statistical Machine Learning
STAT400,Applied Multivariate Analysis
STAT420,Applied Time Series   
STAT422,Sampling Techniques           
STAT430,Categorical Data Analysis
STAT460,Bayesian Statistics
STAT470,Introduction to Statistical Computing
STAT475,Selected Topics in Statistics and Data Analytics
